CLASS_CD	CLASS_COMMENT	SYSTEM_TYPE	CLASS_DTL_CD	DICT_NM	VIEW_ORDER	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG
AFTER_DELIV_SLIP_OUT_TGT	検品後納品明細出力対象	base	1	ECお買上明細	1	0												
AFTER_DELIV_SLIP_OUT_TGT	検品後納品明細出力対象	base	2	納品明細	2	0												
AFTER_TAG_OUT_FLG	検品後荷札出力フラグ	base	0	出力しない	1	1												
AFTER_TAG_OUT_FLG	検品後荷札出力フラグ	base	1	バラ出荷検品後に出力	2	0												
AFTER_TAG_OUT_FLG	検品後荷札出力フラグ	base	2	ケース出荷検品後に出力	3	0												
AFTER_TAG_OUT_FLG	検品後荷札出力フラグ	base	3	バラ・ケース出荷検品後に出力	4	0												
ALL_SHIPPING_FLG	全数出庫フラグ	base	0	部分出庫	1	0												
ALL_SHIPPING_FLG	全数出庫フラグ	base	1	全数出庫	2	0												
ALLC_NG_DISPLAY	引当不可フラグ表示	base	0	表示	1	0												
ALLC_NG_DISPLAY	引当不可フラグ表示	base	1	非表示	2	0												
ALLC_NG_FLG	引当禁止フラグ	base	0	引当可能	1	0												
ALLC_NG_FLG	引当禁止フラグ	base	1	引当禁止	2	0												
ALLOC_SORT_KEY	引当ソートキー	base	lot	ロット	1	0												
ALLOC_SORT_KEY	引当ソートキー	base	lotOrder	ロットソート順	2	0												
ALLOC_SORT_KEY	引当ソートキー	wms	limitDt	期限日	3	0												
ALLOC_SORT_KEY	引当ソートキー	wms	zoneCd	ゾーンCD	4	0												
ALLOC_SORT_KEY	引当ソートキー	wms	locationCd	ロケーションCD	5	0												
ALLOC_SORT_KEY	引当ソートキー	wms	locationOrder	ロケーション引当順序	6	0												
ALLOC_SORT_KEY	引当ソートキー	wms	storeLabelNo	入庫ラベルNo.	7	0												
ALLOC_SORT_KEY	引当ソートキー	wms	storeDt	入庫日	8	0												
ARRIVAL_STORE_FORMAT	着店CDフォーマット	base	YMTFMT	ヤマト用変換フォーマット	1	0												
ARRIVAL_STORE_FORMAT	着店CDフォーマット	base	YUPKFMT	ゆうパック用変換フォーマット	2	0												
AUTO_EMG_SET_FLG	自動緊急フラグ設定フラグ	base	0	未使用	1	0												
AUTO_EMG_SET_FLG	自動緊急フラグ設定フラグ	base	1	使用	2	0												
AUTO_EMG_SET_TGT	自動緊急フラグ判断対象	base	1	積込予定時刻	1	0												
AUTO_EMG_SET_TGT	自動緊急フラグ判断対象	base	2	出荷予定時刻	2	0												
AUTO_PRINT_TARGET_FLG	自動印刷対象フラグ	base	0	自動印刷対象外	1	1												
AUTO_PRINT_TARGET_FLG	自動印刷対象フラグ	base	1	自動印刷対象	2	0												
AUTO_SHIP_INST_FLG	自動出庫指示フラグ	base	0	未使用	1	0												
AUTO_SHIP_INST_FLG	自動出庫指示フラグ	base	1	使用	2	0												
BARCODE_TYPE	バーコード種別	base	CODE39	CODE39	1	0												
BARCODE_TYPE	バーコード種別	base	CODE128	CODE128	2	0												
BARCODE_TYPE	バーコード種別	base	CODABAR	CODABAR(NW-7)	3	0												
BARCODE_TYPE	バーコード種別	base	JAN	JAN(8or13)	4	0												
BARCODE_TYPE	バーコード種別	base	ITF	ITF	5	0												
BATCH_PROGRESS_FLG	バッチ処理中フラグ	base	1	処理中	2	0												
BATCH_PROGRESS_FLG	バッチ処理中フラグ	base	0	非処理中	1	0												
BOX_SELECT_SKIP	荷材選択スキップ	base	0	スキップしない	1	1												
BOX_SELECT_SKIP	荷材選択スキップ	base	1	スキップする	2	0												
CANCEL_DATA_DISPLAY	キャンセルデータ表示	base	0	表示しない	1	1												
CANCEL_DATA_DISPLAY	キャンセルデータ表示	base	1	全件表示	2	0												
CASE_PIC_FLG	ケースピッキングフラグ	base	0	ケースピック無	1	0												
CASE_PIC_FLG	ケースピッキングフラグ	base	1	ケースピック有	2	1												
CENTER_CLIENT_CLS	センタ・荷主区分	base	1	センタ	1	0												
CENTER_CLIENT_CLS	センタ・荷主区分	base	2	荷主	2	0												
CENTER_TRANSIT_FLG	センタ間移動フラグ	base	0	通常	0	0												
CENTER_TRANSIT_FLG	センタ間移動フラグ	base	1	センタ間移動	1	0												
CHARACTER_CD	文字コード	base	MS932	MS932	1	0												
CHARACTER_CD	文字コード	base	UTF8	UTF8	2	0												
CHARGE_QTY_0_DISPLAY	引当可能数0非表示	base	0	0表示	1	1												
CHARGE_QTY_0_DISPLAY	引当可能数0非表示	base	1	0非表示	2	0												
CHECK_DIGIT	チェックディジット	base	0	チェックディジット無	1	0												
CHECK_DIGIT	チェックディジット	base	7	7DR方式	2	0												
COD_CLS	元着区分	base	1	元払	1	0												
COD_CLS	元着区分	base	2	着払	2	0												
COD_TYPE	元／着払／代引文字	base	0	元払	1	0												
