メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
MESSAGE_CD	MESSAGE_TYPE	SYSTEM_TYPE	CULTURE_CD	MESSAGE_NM	MESSAGE_ABBR	MESSAGE_NM	CULTURE_CD_1	MESSAGE_NM_1	MESSAGE_ABBR_1	MESSAGE_NM_1	CULTURE_CD_2	MESSAGE_NM_2	MESSAGE_ABBR_2	MESSAGE_NM_2
acceptFileTypes	error	base	ja-JP	サーバへ送信できないファイルが含まれています。	送信不可		en-US	Upload contains an invalid file type.	Invalid file		zh-CN	含有无法向服务器发送的文件。	无法发送	
afterAutoPrintSetting	info	base	ja-JP	自動印刷設定(変更後)			en-US	Automated Print Settings (After)			zh-CN	自动印刷设定(变更后)		
alreadyDeletedCannotDeleteError	error	base	ja-JP	既に削除されています。	既に削除済		en-US	Data is already deleted.	Already deleted		zh-CN	早已删除。	早已删除	
alreadyRegisteredCannotRegisterError	error	base	ja-JP	既に登録されています。	既に登録済		en-US	Data has already been registered.	Already registered		zh-CN	已登录。	已登录	
applyOrderDuplicateError	error	base	ja-JP	適用順序が重複しています。	重複		en-US	Duplicate Order.	Duplicate data		zh-CN	适用顺序重复。	重复	
authenticationTokenInvalidError	error	base	ja-JP	ログアウトされています。認証画面より再度ログインして下さい。			en-US	You have been logged out. Please log in from the Login screen.			zh-CN	退出完成。请从认证画面再次登录。		
authFatalError	error	base	ja-JP	認証処理にて致命的エラーが発生しました。[/]管理者に連絡して下さい。			en-US	An unhandled exception occurred in the authentication process. [/]Please contact your administrator.			zh-CN	认证处理发生致命错误。[/]请联络管理者。		
authorizationError	error	base	ja-JP	システムに対するアクセス権がありません。[/]管理者に連絡して下さい。			en-US	You do not have valid access rights to the system. [/]Please contact your administrator.			zh-CN	没有权限连接该系统。[/]请联络管理者。		
argMasterError	error	base	ja-JP	引数マスタ取得エラー	取得失敗		en-US	ARG Master acquisition error	Acquisition failure		zh-CN	参数主表取得错误	取得失败	
beforeAutoPrintSetting	info	base	ja-JP	自動印刷設定(変更前)			en-US	Automated Print Settings (Before)			zh-CN	自动印刷设定(变更前)		
classCdDuplicateError	error	base	ja-JP	区分値CDが重複しています。	重複		en-US	Duplicate Classification Code.	Duplicate data		zh-CN	区分值CD重复。	重复	
