メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
MESSAGE_CD	MESSAGE_TYPE	SYSTEM_TYPE	CULTURE_CD	MESSAGE_NM	MESSAGE_ABBR	MESSAGE_NM	CULTURE_CD_1	MESSAGE_NM_1	MESSAGE_ABBR_1	MESSAGE_NM_1	CULTURE_CD_2	MESSAGE_NM_2	MESSAGE_ABBR_2	MESSAGE_NM_2
addRowConfirmation	confirm	wms	ja-JP	選択した行を追加しますか？	行追加しますか									
addRowMultipleConfirmation	confirm	wms	ja-JP	複数行選択しています。選択した行を追加しますか？	追加確認									
address1CheckInputMaxError	error	wms	ja-JP	住所１は最大50文字以下を入力して下さい。	最大50文字以下									
address2CheckInputMaxError	error	wms	ja-JP	住所２は最大50文字以下を入力して下さい。	最大51文字以下									
address3CheckInputMaxError	error	wms	ja-JP	住所３は最大50文字以下を入力して下さい。	最大52文字以下									
afterLocationCannotInputSameBeforeLocationError	error	wms	ja-JP	移動先が移動元と同じです。	移動元と同一入力不可									
allParentShapeCdInputError	error	wms	ja-JP	最大単位荷姿の親荷姿は設定しないで下さい。										
allRecivePlanNotSelectError	error	wms	ja-JP	入荷日、伝票区分または預託在庫区分が変更されました。全行選択して更新して下さい。	未選択									
allStockOutDataFoundError	error	wms	ja-JP	全欠品データが含まれています。	存在									
allStructureCannotDeleteError	error	wms	ja-JP	すべての構成品が削除済の為、登録できません。	削除不可									
allcNgFlgNotFoundError	error	wms	ja-JP	引当禁止フラグが存在しません。	未存在									
allocChargeNumNotFoundError	error	wms	ja-JP	出荷実績訂正の在庫データに存在しません。	未存在									
allocInformation	info	wms	ja-JP	荷札情報										
allocNgFlgNotInputError	error	wms	ja-JP	引当禁止フラグを入力して下さい。	未入力									
allocOrderCheckInputDecimalError	error	wms	ja-JP	引当順序に小数は入力できません。	小数不可									
allocOrderCheckInputIntegerError	error	wms	ja-JP	引当順序は整数5桁以内を入力して下さい。	整数5桁以内									
allocOrderCheckNumericOnlyError	error	wms	ja-JP	引当順序 数値のみ	数値のみ									
allocOrderInputRequestMinIsZeroError	error	wms	ja-JP	引当順序は最小0以上を入力して下さい。	最小0以上									
