REPORT_CD	REPORT_NM	REPORT_LAYOUT_NM	REPORT_LAYOUT_DATA	UPDATABLE	ATTRIBUTE1	ATTRIBUTE2	ATTRIBUTE3	ATTRIBUTE4	ATTRIBUTE5	AUTO_PRINT_TARGET_FLG	DEL_FLG	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	ITEM_FORMAT
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblCenter	センタ	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblinventoryDt	棚卸日	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblDepart	部門	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblTitle	商品別棚卸実績表兼差異表	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblPage	PAGE:	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lbltype	品種	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblSalesOrgAndUser	販売組織/ユーザ	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblinventorydiff	棚卸差異	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblNo	No.	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblProductCd	商品CD	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lbljanCd	JANCD	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblProductNm	商品名称	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblchargeNumNow	現在庫数	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lblinventoryNum	棚卸数量	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lbldiffNumP	差異数量＋	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lbldiffNumM	差異数量－	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lbldiffMoneyP	差異金額＋	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lbldiffMoneyM	差異金額－	String	1	
ProductInventoryDiffList	商品別棚卸実績表兼差異表	商品別棚卸実績表兼差異表	../../../../../../reports/inventory/ProductInventoryDiffList.jrxml	1						0	0	lbltotal	合計	String	1	
