ROLE_GRP_CD	ROLE_GRP_DICT_NM	ROLE_CD	ROLE_DICT_NM	APPLY_ORDER
Administrators	管理者	NoSystemMaintenance	システム管理不可	1
Administrators	管理者	NoClientCenterEdit	荷主センタ編集不可	2
Administrators	管理者	NoViewDeposit	預託閲覧不可	3
Users	標準ユーザ	NoSystemMaintenance	システム管理不可	1
Users	標準ユーザ	NoCommonSetting	共通設定不可	2
Users	標準ユーザ	NoWmsMasterMaintenance	WMSマスタ管理不可	3
Users	標準ユーザ	NoDaily	日次締処理不可	4
Users	標準ユーザ	NoViewDeposit	預託閲覧不可	5
Viewers	閲覧ユーザ	ViewOnly	閲覧許可	1
Workers	管理作業者	NoSystemMaintenance	システム管理不可	1
Workers	管理作業者	NoClientCenterEdit	荷主センタ編集不可	2
Workers	管理作業者	Workers	管理作業者権限	3
Workers	管理作業者	NoViewDeposit	預託閲覧不可	4
Owners	荷主閲覧ユーザ	ViewOnly	閲覧許可	1
Owners	荷主閲覧ユーザ	NoViewShipping	出荷閲覧不可	2
Owners	荷主閲覧ユーザ	NoTotalStockList	トータル在庫問合せ不可	3
DepositViewers	預託閲覧ユーザ	DepositViewOnly	預託閲覧許可	1
