画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	centerCd	センタ	dropdown	1	0		0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	locationCd	ロケーションCD	text	1	1		1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	delFlg	削除	dropdown	1	1		1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	locationNm	ロケーション名称	text	1	1		1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	warehouseCd	倉庫	dropdown	1	1		1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	zoneCd	ゾーン	dropdown	1	1		1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	locationType	ロケーション種別	dropdown	1	1		1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	pickingLocationFlg	ピックロケフラグ	dropdown	1	1		1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	allocNgFlg	引当禁止フラグ	dropdown	1	1		1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	pickingOrder	ピッキング順序	number	1	1	right	1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	allocOrder	引当順序	number	1	1	right	1	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	titleReplenish	補充商品		1	1		0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	clientCd	荷主	dropdown	1	1		0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	productCd	商品	text	1	1		0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	replenishStockTypeId	在庫区分	dropdown	1	1		0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	replenishDepositId	預託	dropdown	1	1		0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	replenishPProductShapeId	補充点荷姿	dropdown	1	1		0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	replenishPNum	補充点	number	1	1	right	0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	maxStoreProductShapeId	最大格納数商品荷姿	dropdown	1	1		0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	maxStoreNum	最大格納数	number	1	1	right	0	1													
LocationMasterEdit	ロケーションマスタメンテナンス(編集)	wms	register	登録		1	1		0	1													
