画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
PickingListPrint	荷揃表・荷札・納品書再発行	wms	centerCd	センタ		1	0		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	searchReferenceDt	検索基準日		1	1		1	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	dtFrom	日付(From)		1	1		1	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	dtTo	日付(To)		1	1		1	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	shippingSlipType	出荷帳票発行区分		1	1		1	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	printStatus	発行状況		1	0		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	deliveryCourseCd	運送便CD		1	1		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	carrierCd	運送業者CD		1	1		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	nizoroeNo2From	荷揃番号(From)		1	1		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	nizoroeNo2To	荷揃番号(To)		1	1		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	daihyoNizoroeNo2From	代表荷揃番号(From)		1	1		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	daihyoNizoroeNo2To	代表荷揃番号(To)		1	1		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	clientShippingNo	発注伝票番号		1	1		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	search	検索		1	1		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	excelOutput	Excel出力		1	1		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	emergencyTitle	緊急		1	0		0	1													
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	nizoroeNo2	荷揃番号	1	text	1	0		0	170			1	170
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	daihyoNizoroeNo2	代表荷揃番号	2	text	1	0		0	170			2	170
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	supplyCustomerNm	送り先名称	3	text	1	0		0	200			3	200
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	deliveryCourseCd	運送便CD	4	text	1	0		0	150			4	150
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	deliveryCourseNm	運送便名称	5	text	1	0		0	200			5	200
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	carrierCd	運送業者CD	6	text	1	0		0	150			6	150
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	carrierNm	運送業者名称	7	text	1	0		0	200			7	200
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	kohaiContractorCd	ユーザCD	8	text	1	0		0	150			8	150
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	kohaiContractorNm	ユーザ名称	9	text	1	0		0	200			9	200
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	shippingDt	出荷指示日	10	date	1	0		0	150			10	150
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	workDt	作業日	11	date	1	0		0	150			11	150
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	shippingFixedDt	出荷日	12	date	1	0		0	150			12	150
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	clientShippingNo	発注伝票番号	13	text	1	0		0	170			13	170
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	processTypeCd	出荷処理区分CD	14	text	1	0		0	170			14	170
PickingListPrint	荷揃表・荷札・納品書再発行	wms	pickingListPrintB	荷揃表・荷札・納品書再発行グリッド	grid	1	0		0	1	processTypeNm	出荷処理区分名称	15	text	1	0		0	170			15	170
