CLASS_ID	CLASS_CD	CLASS_COMMENT	SYSTEM_TYPE
1	AFTER_DELIV_SLIP_OUT_TGT	検品後納品明細出力対象	base
2	AFTER_TAG_OUT_FLG	検品後荷札出力フラグ	base
3	ALL_SHIPPING_FLG	全数出庫フラグ	base
4	ALLC_NG_DISPLAY	引当不可フラグ表示	base
5	ALLC_NG_FLG	引当禁止フラグ	base
6	ALLOC_SORT_KEY	引当ソートキー	base
7	ARRIVAL_STORE_FORMAT	着店CDフォーマット	base
8	AUTO_EMG_SET_FLG	自動緊急フラグ設定フラグ	base
9	AUTO_EMG_SET_TGT	自動緊急フラグ判断対象	base
10	AUTO_PRINT_TARGET_FLG	自動印刷対象フラグ	base
11	AUTO_SHIP_INST_FLG	自動出庫指示フラグ	base
12	BARCODE_TYPE	バーコード種別	base
13	BATCH_PROGRESS_FLG	バッチ処理中フラグ	base
14	BOX_SELECT_SKIP	荷材選択スキップ	base
15	CANCEL_DATA_DISPLAY	キャンセルデータ表示	base
16	CASE_PIC_FLG	ケースピッキングフラグ	base
17	CENTER_CLIENT_CLS	センタ・荷主区分	base
18	CENTER_TRANSIT_FLG	センタ間移動フラグ	base
19	CHARACTER_CD	文字コード	base
20	CHARGE_QTY_0_DISPLAY	引当可能数0非表示	base
21	CHECK_DIGIT	チェックディジット	base
22	COD_CLS	元着区分	base
23	COD_TYPE	元／着払／代引文字	base
24	CODE_FLG	複数番号の有無	base
25	CODE_TYPE	個別番号の種別	base
26	COL_TYPE	列型	base
27	COMMENT_FLG	コメント1有無	base
28	COMPANY_FLG	大口事業所フラグ	base
29	COOL_CLS	クール区分	base
30	COOL_TYPE	保冷種別	base
31	CORRECT_TYPE	赤黒区分	base
32	DATA_INPUT_COMMIT_TYPE	コミット区分	base
33	DATA_INPUT_OPERATION_TYPE	処理区分	base
34	DATA_INPUT_PROCESS_TYPE	処理区分	base
35	DATA_INPUT_RANGE	取込対象	base
36	DATA_INPUT_TYPE	取込種類	base
37	DATA_TYPE	データ型	base
38	DEFAULT	デフォルト	base
39	DEFAULT_FLG	デフォルトフラグ	base
40	DEL_FLG	削除フラグ	base
41	DELETE_DATA_DISPLAY	削除データ表示	base
42	DELIV_MATCH_FLG	送付先一致フラグ	base
43	DELIV_TZ	納品時間帯	base
44	DELIVERY_FLG	納品先フラグ	base
45	DEPOSIT_FLG	預託先フラグ	base
46	DISPLAY_REQUIRED	表示必須	base
47	DT_CLS	日付区分	base
48	EDITABLE	編集可否	base
49	EMERGENCY_DISPLAY	緊急表示区分	base
50	EMERGENCY_FLG	緊急フラグ	base
51	ERROR_FLG	エラーフラグ	base
52	ERROR_PROCESS_MET	エラー処理方法	base
53	FIXED_POINT	定点切れ	base
54	FORCE_FIXED_FLG	強制確定フラグ	base
55	FOREIGN_FLG	外貨フラグ	base
56	GIFT_FLG	ギフトフラグ	base
57	GIFT_STATEMENT_TYPE	ギフト用納品書種別	base
58	HT_CHAR_READ_FLG	HT文字認識使用フラグ	base
59	IMPORT_FLG	取込みフラグ	base
60	INFO_FLG	終了したお知らせの表示	base
61	INOUT_TYPE	入出庫区分	base
62	INPUT_LIMIT	入力文字制限	base
63	INPUT_TYPE	入力区分	base
64	INSPECTION_FLG	検品フラグ	base
65	INVENTORY_LOCATION_PRODUCT	比較条件差異	base
66	INVOICE_CREATE_FLG	送り状データ出力フラグ	base
67	ITEM_TYPE	項目型	base
68	LAST_FLG	最新フラグ	base
69	LIMIT_DT_MANAG_FLG	期限日管理フラグ	base
70	LIMIT_DT_REVERSE_FLG	期限日逆転防止フラグ	base
71	LIMIT_MESSAGE_CD	制限メッセージCD	base
72	LINE_FEED_CD	改行コード	base
73	LIST_OUT_FLG	リスト発行フラグ	base
74	LIST_OUT_KBN	発行区分	base
75	LIST_OUT_FLG_DISP	リスト発行フラグ(一覧表示用)	base
76	LOADING_FLG	積込フラグ	base
77	LOCATION_TYPE	ロケーション種別	base
78	LOCKOUT	ロックアウト	base
79	LOG_DTL_STATUS	ログ明細ステータス	base
80	LOG_DTL_TYPE	ログ明細種別	base
81	LOG_STATUS	ログステータス	base
82	LOT_MANAG_FLG	ロット管理フラグ	base
83	LOT_REVERSE_FLG	ロット逆転防止フラグ	base
84	MERGE_CLS	入庫No.マージ区分	base
85	MERGE_FLG	名寄せ有無	base
