CLASS_DTL_ID	CLASS_ID	CLASS_DTL_CD	DICT_ID	VIEW_ORDER	DEFAULT_FLG
1	1	1	2350	1	0
2	1	2	1153	2	0
3	2	0	2112	1	1
4	2	1	2129	2	0
5	2	2	2130	3	0
6	2	3	2131	4	0
7	3	0	1874	1	0
8	3	1	1875	2	0
9	4	0	1773	1	0
10	4	1	1774	2	0
11	5	0	1771	1	0
12	5	1	1772	2	0
13	6	lot	266	1	0
14	6	lotOrder	268	2	0
15	6	limitDt	315	3	0
16	6	zoneCd	211	4	0
17	6	locationCd	262	5	0
18	6	locationOrder	2006	6	0
19	6	storeLabelNo	579	7	0
20	6	storeDt	589	8	0
21	7	YMTFMT	2160	1	0
22	7	YUPKFMT	2161	2	0
23	8	0	1778	1	0
24	8	1	1777	2	0
25	9	1	486	1	0
26	9	2	449	2	0
27	10	0	2110	1	1
28	10	1	2111	2	0
29	11	0	1778	1	0
30	11	1	1777	2	0
31	12	CODE39	2116	1	0
32	12	CODE128	2117	2	0
33	12	CODABAR	2118	3	0
34	12	JAN	2119	4	0
35	12	ITF	2120	5	0
36	13	1	1781	2	0
37	13	0	1782	1	0
38	14	0	2121	1	1
39	14	1	2122	2	0
40	15	0	1838	1	1
41	15	1	1842	2	0
42	16	0	2127	1	0
43	16	1	2128	2	1
44	17	1	736	1	0
45	17	2	748	2	0
46	18	0	1814	0	0
47	18	1	2063	1	0
48	19	MS932	2009	1	0
49	19	UTF8	2058	2	0
50	20	0	1846	1	1
51	20	1	1847	2	0
52	21	0	1862	1	0
53	21	7	1863	2	0
54	22	1	2059	1	0
55	22	2	2060	2	0
56	23	0	2059	1	0
57	23	1	2060	2	0
58	23	2	2065	3	0
59	24	0	1909	1	0
60	24	1	2002	2	0
61	24	2	2003	3	0
62	24	3	2004	4	0
63	25	0	1907	1	0
64	25	1	1908	2	0
65	26	text	1938	1	0
66	26	number	1939	2	0
67	26	date	883	3	0
68	26	datetime	1940	4	0
69	26	dropdown	1951	5	0
70	26	checkbox	1952	6	0
71	26	calcnumber	2914	7	0
72	27	0	2439	0	0
73	27	1	2440	1	0
74	28	0	1906	1	0
75	28	1	1907	2	0
76	29	0	1814	1	0
77	29	1	2016	2	0
78	29	2	2017	3	0
79	30	0	2055	1	0
80	30	1	2056	2	0
81	30	2	2057	3	0
82	31	0	1888	1	0
83	31	1	1889	2	0
84	32	0	1991	1	1
85	32	1	1992	2	0
86	33	0	1805	1	0
87	33	1	1264	2	0
88	33	2	1265	3	0
89	33	3	1266	4	0
90	34	0	1989	1	1
91	34	1	1990	2	0
92	35	0	1822	1	1
93	35	1	1987	2	0
94	35	2	1988	3	0
95	36	01	1984	1	0
96	36	02	2084	2	0
97	36	03	1985	3	0
98	36	04	1986	4	0
99	36	05	1983	5	0
100	36	06	2156	6	0
101	36	07	2157	7	0
102	36	08	2158	8	0
103	36	09	2159	9	0
104	37	text	1938	1	0
105	37	number	1939	2	0
106	37	date	883	3	0
107	37	datetime	1940	4	0
108	37	time	136	4	0
109	38	0	1860	1	1
110	38	1	1861	2	0
111	39	0	1860	1	0
112	39	1	1861	2	0
113	40	0	1783	1	1
114	40	1	1784	2	0
115	41	0	1838	1	1
116	41	1	1842	2	0
117	42	0	2330	1	0
118	42	1	2331	2	0
119	43	A	1823	1	0
120	43	B	1824	2	0
121	43	C	1825	3	0
122	43	D	1826	4	0
123	43	E	1827	5	0
124	43	F	1828	6	0
125	43	G	1829	7	0
126	43	H	1830	8	0
127	43	I	1831	9	0
128	43	J	1832	10	0
129	44	1	1777	2	0
130	44	0	1778	1	0
131	45	1	1777	2	0
132	45	0	1778	1	0
133	46	0	1954	1	0
134	46	1	610	2	0
135	47	0	2282	1	1
136	47	1	448	2	0
137	47	2	390	3	0
138	48	0	1968	1	0
139	48	1	1935	2	1
140	49	0	1842	1	1
141	49	1	1843	2	0
142	50	0	1814	1	1
143	50	1	1809	2	0
144	51	0	1785	1	0
145	51	1	980	2	0
146	52	0	2091	1	1
147	52	1	2092	2	0
148	53	0	2061	1	0
149	54	0	1815	1	0
150	54	1	1816	2	0
151	55	0	1767	1	0
152	55	1	1768	2	0
153	56	0	2328	1	0
154	56	1	2329	2	0
155	57	0	1814	1	0
156	57	1	2384	2	0
157	57	2	2385	3	0
158	58	0	1778	1	1
159	58	1	1777	2	0
160	59	0	2334	1	0
161	59	1	2335	2	0
162	60	0	1837	1	0
163	60	1	1838	2	1
164	61	0	1886	1	0
165	61	1	1887	2	0
166	62	^[0-9]*$	1941	1	0
167	62	^[0-9\-]*$	1942	2	0
168	62	^[a-zA-Z]*$	1945	3	0
169	62	^[a-zA-Z\-]*$	1946	4	0
170	62	^[0-9a-zA-Z]*$	1943	5	0
171	62	^[0-9a-zA-Z\-]*$	1944	6	0
172	62	^[!-~]*$	1950	7	0
173	62	^[ -~｡-ﾟ]*$	1947	8	0
174	62	^[^ -~｡-ﾟ]*$	1948	9	0
175	62	^([0-1][0-9]|[2][0-3]):[0-5][0-9]$	1949	10	0
176	62	^([0-1][0-9]|[2][0-3]):[0-5][0-9]:[0-5][0-9]$	2071	11	0
177	63	00	1804	1	0
178	63	10	1805	2	0
179	63	20	1806	3	0
180	63	30	1807	4	0
181	64	0	1871	1	0
182	64	1	1872	2	0
183	64	7	1873	7	0
184	65	0	1915	1	0
185	65	1	1914	2	1
186	66	0	1890	1	1
187	66	1	1891	2	0
188	67	text	1938	1	0
189	67	number	1939	2	0
190	67	date	883	3	0
191	67	datetime	1940	4	0
192	67	dropdown	1951	5	0
193	67	checkbox	1952	6	0
194	67	grid	1953	7	0
195	68	0	1933	1	0
196	68	1	1932	2	0
197	69	1	1775	2	0
198	69	0	1776	1	0
199	70	1	1775	2	0
200	70	0	1776	1	0
201	71	inputLimitCheckNumericOnlyError	1958	1	0
202	71	inputLimitCheckNumericAndHyphenOnlyError	1959	2	0
203	71	inputLimitCheckAlphabetOnlyError	1962	3	0
204	71	inputLimitCheckAlphabetAndHyphenOnlyError	1963	4	0
205	71	inputLimitCheckAlphabetAndNumericOnlyError	1960	5	0
206	71	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError	1961	6	0
207	71	inputLimitCheckAlphabetAndNumericAndSymbolOnlyError	1967	7	0
208	71	inputLimitCheckHalfWidthOnlyError	1964	8	0
209	71	inputLimitCheckFullWidthOnlyError	1965	9	0
210	71	inputLimitCheckTimeOnlyError	1966	10	0
211	71	inputLimitCheckTimeHHMMSSOnlyError	2072	11	0
212	72	1	2381	1	0
213	72	2	2382	2	0
214	72	3	2383	3	0
215	73	0	1819	1	0
216	73	1	1820	2	0
217	74	0	1819	1	1
218	74	1	1820	2	0
219	74	2	1822	3	0
220	75	0	1819	1	0
221	75	1	1820	2	0
222	75	2	1821	3	0
