SCREEN_ID	SCREEN_CD	DICT_ID	SYSTEM_TYPE
203	AutoPrintBulkPrinterChangeEdit	96	base
204	AutoPrintBulkPrinterChangeList	95	base
205	ClassEdit	1133	base
206	ClassGrpDtlEdit	1124	base
207	ClassGrpEdit	1049	base
208	ClassList	1032	base
209	DictCultureMaster	1038	base
210	DictMaster	1050	base
211	GridColExtBaseEdit	23	base
212	GridColExtDialog	22	base
213	InfoMaster	1078	base
214	LiteLogin	28	base
215	LiteLoginPwdMgt	1047	base
216	LogDtlBrowse	27	base
217	LogDtlList	1076	base
218	LogList	1075	base
219	MainMenu	1	base
220	MenuGrpEdit	1136	base
221	MenuGrpList	1058	base
222	MessageMaster	1198	base
223	PasswordChange	34	base
224	PrinterAttributeList	55	base
225	PrinterGroupList	48	base
226	PrinterList	53	base
227	PrintRequestHistBrowse	108	base
228	PrintRequestHistList	59	base
229	PrintRequestList	57	base
230	PrintRequestParam	3	base
231	PrintServiceEdit	52	base
232	PrintServiceList	50	base
233	PropertyMaster	150	base
234	ReportLayoutCopy	1571	base
235	ReportLayoutEdit	1285	base
236	ReportLayoutList	1280	base
237	ReportLayoutUpload	10	base
238	ReportMaster	147	base
239	RoleGrpEdit	1093	base
240	RoleGrpList	1108	base
241	RoleList	1091	base
242	RoleListCopy	1650	base
243	ScreenColEdit	1127	base
244	ScreenColRoleEdit	1112	base
245	ScreenItemEdit	1126	base
246	ScreenItemRoleEdit	1089	base
247	ScreenList	1128	base
248	ScreenListMasterCopy	1649	base
249	ScreenRoleEdit	1107	base
250	SystemEdit	61	base
251	TerminalSetting	153	base
252	UserAutoPrintSettingEdit	94	base
253	UserAutoPrintSettingList	92	base
254	UserList	1046	base
255	UserMgt	1047	base
256	UserMgtCopy	1047	base
257	UserMgtRegisterNew	1047	base
258	UserMgtUpdate	1047	base
259	AttendanceEntry	3357	wms
260	BarcodeLabelBulkPrint	1640	wms
261	BillOfLadingPrint	3156	wms
262	BoxGroupMasterEdit	1564	wms
263	BoxGroupMasterList	1563	wms
264	BoxMaster	711	wms
265	CarrierMasterEdit	1714	wms
266	CarrierMasterList	749	wms
267	CarrierSlipCESMaster	3113	wms
268	CarrierSlipCESMasterEdit	3114	wms
269	CarrierSlipSgwMaster	1472	wms
270	CarrierSlipSgwMasterEdit	1320	wms
271	CarrierSlipYmtMaster	1471	wms
272	CarrierSlipYmtMasterEdit	1312	wms
273	CarrierSlipYupkMaster	1473	wms
274	CarrierSlipYupkMasterEdit	1387	wms
275	CasePickingSD	2600	wms_sd
276	CenterClassEdit	1277	wms
277	CenterClassGrpDtlEdit	1279	wms
278	CenterClassGrpEdit	1278	wms
279	CenterClassList	1276	wms
280	CenterClientScreenColMaster	1158	wms
281	CenterClientScreenItemMaster	1113	wms
282	CenterClientScreenMaster	1096	wms
283	CenterMasterEdit	733	wms
284	CenterMasterList	715	wms
285	CenterRelatedCopy	2636	wms
286	ClassLabelPrint	979	wms
287	ClientMaster	712	wms
288	CustomerMasterBulkInput	1273	wms
289	CustomerMasterEdit	718	wms
290	CustomerMasterList	717	wms
291	Daily	1011	wms
292	DataInput	1259	wms
293	DeliveryCourseMasterEdit	720	wms
294	DeliveryCourseMasterList	708	wms
295	DeliveryCourseSearch	716	wms
296	DeliveryCourseSearchSD	716	wms_sd
297	DeliveryCourseShippingList	820	wms
298	DeliveryMasterSearch	709	wms
299	DeliveryMasterSearchSD	709	wms_sd
300	DeliverySlipListPrint	1010	wms
301	DepositProductMasterEdit	3914	wms
302	DepositProductMasterList	3913	wms
303	EcDelivAddressModify	2393	wms
304	EcOrderBulkInput	2324	wms
305	EcOrderList	2271	wms
306	EcShippingTagDataOutput	2278	wms
307	EdiEdit	2347	wms
308	EdiList	2339	wms
309	FormatBarcodeLabelBulkPrint	1648	wms
310	FormatCustomerMasterBulkInput	1245	wms
311	FormatLocationMasterBulkInput	1247	wms
312	FormatMProductShapeBulkInput	1251	wms
313	FormatProductMasterBulkInput	1243	wms
314	FormatReceivePlanBulkInput	1239	wms
315	FormatSerialNoBulkInput	2598	wms
316	FormatShippingPlanBulkInput	1241	wms
317	FormatZoneMasterBulkInput	1249	wms
318	HTDictCultureMaster	1039	wms
319	HTDictMaster	1051	wms
320	HTMessageMaster	1199	wms
321	ImportTypeBCopyColumnInput	2396	wms
