SCREEN_ID	SCREEN_CD	DICT_ID	SYSTEM_TYPE
1	AttendanceEntryConfirmHT	3359	wms_ht
2	AttendanceEntryHT	3358	wms_ht
3	AttendanceEntryRegisterHT	3358	wms_ht
4	AttendanceEntryResultHT	3377	wms_ht
5	ClientSelectHT	164	wms_ht
6	CommonCancelDialogHT	1143	wms_ht
7	CommonDeleteDialogHT	1143	wms_ht
8	CommonEndDialogHT	1143	wms_ht
9	CommonErrorDialogHT	1789	wms_ht
10	CommonResumeDialogHT	1879	wms_ht
11	CommonWarnDialogHT	1924	wms_ht
12	HandyInputAuxiliaryHT	2699	wms_ht
13	InventoryInputProductCancelHT	2826	wms_ht
14	InventoryInputProductDepositSelectHT	2828	wms_ht
15	InventoryInputProductHT	2688	wms_ht
16	InventoryInputProductJanCdHT	2829	wms_ht
17	InventoryInputProductKbnHT	2830	wms_ht
18	InventoryInputProductLimitDtHT	2831	wms_ht
19	InventoryInputProductListHT	2832	wms_ht
20	InventoryInputProductLocHT	2833	wms_ht
21	InventoryInputProductLotHT	2831	wms_ht
22	InventoryInputProductLotLimitDtHT	2831	wms_ht
23	InventoryInputProductQtyHT	2834	wms_ht
24	InventoryInputProductSendHT	2837	wms_ht
25	InventoryInputProductStockTypeSelectHT	2678	wms_ht
26	LocationMoveCancelHT	2743	wms_ht
27	LocationMoveInLocHT	2739	wms_ht
28	LocationMoveOutHT	2689	wms_ht
29	LocationMoveOutListHT	2738	wms_ht
30	LocationMoveOutLocHT	2737	wms_ht
31	LocationMoveSendHT	2740	wms_ht
32	LoginClientHT	28	wms_ht
33	LoginHT	28	wms_ht
34	MenuGrpHT	1	wms_ht
35	MenuHT	243	wms_ht
36	PrinterSelectCancelHT	2813	wms_ht
37	PrinterSelectHT	2691	wms_ht
38	PrinterSelectListHT	2814	wms_ht
39	PrinterSelectPrinterGroupHT	70	wms_ht
40	PrinterSelectPrinterGroupSelectHT	2815	wms_ht
41	PrinterSelectPrinterHT	4	wms_ht
42	PrinterSelectPrinterSelectHT	2691	wms_ht
43	PrinterSelectReportLayoutHT	8	wms_ht
44	PrinterSelectReportLayoutSelectHT	2816	wms_ht
45	PrinterSelectSendHT	2817	wms_ht
46	PrinterSelectTrayHT	2806	wms_ht
47	PrinterSelectTraySelectHT	2818	wms_ht
48	PrinterSelectUpdateConfirmHT	2819	wms_ht
49	ReceiveInspecStoreCancelHT	2903	wms_ht
50	ReceiveInspecStoreCenterMoveLotLimitDtHT	2904	wms_ht
51	ReceiveInspecStoreEndHT	1143	wms_ht
52	ReceiveInspecStoreHT	2683	wms_ht
