MENU_ID	MENU_GRP_ID	SCREEN_ID	DICT_ID	URL_PATH	TARGET_WINDOW	VIEW_ORDER	DEL_FLG
1	1	304		#/wms/ecorder/EcOrderBulkInput	0	1	0
2	1	305		#/wms/ecorder/EcOrderList	0	2	0
3	1	306		#/wms/ecorder/EcShippingTagDataOutput	0	3	0
4	2	386		#/wms/receive/ReceiveStatusProgress	0	1	0
5	2	414		#/wms/receive/SlipNoReceiveList	0	2	0
6	2	375		#/wms/receive/ProductReceiveList	0	3	0
7	2	387		#/wms/receive/ReferenceProductReceiveList	0	4	0
8	2	382		#/wms/receive/ReceivePartList	0	5	0
9	2	384		#/wms/receive/ReceivePlanInput	0	6	0
10	2	383		#/wms/receive/ReceivePlanBulkInput	0	7	0
11	2	385		#/wms/receive/ReceivePlanListPrint	0	8	0
12	2	429		#/wms/receive/StoreLabelPrint	0	9	0
13	2	286		#/wms/receive/ClassLabelPrint	0	10	0
14	2	380		#/wms/receive/ReceiveInputNo	0	11	0
15	2	378		#/wms/receive/ReceiveHistory	0	12	0
16	3	409		#/wms/shipping/ShippingStatusProgress	0	1	0
17	3	297		#/wms/shipping/DeliveryCourseShippingList	0	2	0
18	3	405		#/wms/shipping/ShippingInstList	0	3	0
19	3	377		#/wms/shipping/ProductShippingList	0	4	0
20	3	388		#/wms/shipping/ReferenceProductShippingList	0	5	0
21	3	408		#/wms/shipping/ShippingPlanInput	0	6	0
22	3	407		#/wms/shipping/ShippingPlanBulkInput	0	7	0
23	3	406		#/wms/shipping/ShippingLotList	0	8	0
24	3	360		#/wms/shipping/PickingListPrint	0	9	0
25	3	361		#/wms/shipping/PickingMethodRecommendation	0	10	0
26	3	364		#/wms/shipping/PieceShippingInspect	0	11	0
27	3	413		#/wms/shipping/SingleRowShippingInspect	0	12	0
28	3	358		#/wms/shipping/PackingListUpdate	0	13	0
29	3	300		#/wms/shipping/DeliverySlipListPrint	0	14	0
30	3	430		#/wms/shipping/StwListPrint	0	15	0
31	3	403		#/wms/shipping/ShippingInputNoPlan	0	16	0
32	3	400		#/wms/shipping/ShippingConfirmList	0	17	0
33	3	410		#/wms/shipping/ShippingTagDataOutput	0	18	0
34	3	357		#/wms/shipping/PackingList	0	19	0
35	3	402		#/wms/shipping/ShippingHistory	0	20	0
36	3	356		#/wms/shipping/PackingHistory	0	21	0
37	3	261		#/wms/shipping/BillOfLadingPrint	0	22	1
38	4	431		#/wms/stock/TotalStockList	0	1	0
39	4	390		#/wms/stock/ReferenceTotalStockList	0	2	0
40	4	418		#/wms/stock/StockList	0	3	0
41	4	389		#/wms/stock/ReferenceStockList	0	4	0
42	4	417		#/wms/stock/StockInOutList	0	5	0
43	4	423		#/wms/stock/StockMoveList	0	6	0
44	4	424		#/wms/stock/StockSetInst	0	7	0
45	4	425		#/wms/stock/StockSetInstListPrint	0	8	0
46	4	426		#/wms/stock/StockSetRelease	0	9	0
47	4	427		#/wms/stock/StockSetReleaseListPrint	0	10	0
48	4	391		#/wms/stock/ReplenishInstList	0	11	0
49	4	353		#/wms/stock/MoveLabelPrint	0	12	0
50	4	415	1209	#/wms/stock/StockAdj	0	13	0
51	4	420		#/wms/stock/StockMoveBodyList	0	14	0
52	4	421		#/wms/stock/StockMoveHistory	0	15	0
53	4	394		#/wms/stock/SerialNoList	0	16	0
54	4	393		#/wms/stock/SerialNoBulkInput	0	17	0
55	5	325		#/wms/inventory/InventoryCreate	0	1	0
56	5	333		#/wms/inventory/InventoryWorkListPrint	0	2	0
57	5	329		#/wms/inventory/InventoryInput	0	3	0
58	5	328		#/wms/inventory/InventoryHistorySearch	0	4	0
59	5	326		#/wms/inventory/InventoryDiffListPrint	0	5	0
60	5	324		#/wms/inventory/InventoryBulkUpdate	0	6	0
61	5	327		#/wms/inventory/InventoryHistory	0	7	0
62	5	332		#/wms/inventory/InventoryListPrint	0	8	0
63	6	287		#/wms/master/ClientMaster	0	1	0
64	6	284		#/wms/master/CenterMasterList	0	2	0
