CENTER_CLASS_DTL_ID	CENTER_CLASS_ID	CLASS_DTL_CD	DICT_ID	VIEW_ORDER	DEFAULT_FLG
1	1	0	1162	1	1
2	2	0	1162	1	1
3	1	1	1166	2	0
4	2	1	1166	2	0
5	1	4	1543	3	0
6	2	4	1543	3	0
7	1	5	1544	4	0
8	2	5	1544	4	0
9	1	6	3251	5	0
10	2	6	3251	5	0
11	3	2	1163	1	1
12	4	2	1163	1	1
13	3	3	1165	2	0
14	4	3	1165	2	0
15	5	1	2149	1	1
16	6	1	2149	1	1
17	5	2	2150	2	0
18	6	2	2150	2	0
19	5	3	2151	3	0
20	6	3	2151	3	0
21	5	4	2152	4	0
22	6	4	2152	4	0
23	5	5	2153	5	0
24	6	5	2153	5	0
25	5	6	2154	6	0
26	6	6	2154	6	0
27	5	7	2155	7	0
28	6	7	2155	7	0
29	7	01	1823	1	0
30	8	01	1823	1	0
31	7	04	1828	7	0
32	8	04	1828	7	0
33	7	12	1824	2	0
34	8	12	1824	2	0
35	7	14	1825	3	0
36	8	14	1825	3	0
37	7	16	1826	4	0
38	8	16	1826	4	0
39	7	18	1827	5	0
40	8	18	1827	5	0
41	7	19	1829	6	0
42	8	19	1829	6	0
43	9	001	2032	1	0
44	10	001	2032	1	0
45	9	002	2033	2	0
46	10	002	2033	2	0
47	9	003	2034	3	0
48	10	003	2034	3	0
49	11	001	2018	1	0
50	12	001	2018	1	0
51	11	002	2019	2	0
52	12	002	2019	2	0
53	11	003	2020	3	0
54	12	003	2020	3	0
55	11	004	2021	4	0
56	12	004	2021	4	0
57	11	005	2022	5	0
58	12	005	2022	5	0
59	11	006	2023	6	0
60	12	006	2023	6	0
61	11	007	2024	7	0
62	12	007	2024	7	0
63	11	008	2025	8	0
64	12	008	2025	8	0
65	13	000	2026	1	0
66	14	000	2026	1	0
67	13	001	2027	2	0
68	14	001	2027	2	0
69	13	002	2028	3	0
70	14	002	2028	3	0
71	13	003	2029	4	0
72	14	003	2029	4	0
73	13	004	2030	5	0
74	14	004	2030	5	0
75	13	005	2031	6	0
76	14	005	2031	6	0
77	15	001	2033	1	0
78	16	001	2033	1	0
79	15	002	2034	2	0
80	16	002	2034	2	0
81	15	003	2027	3	0
82	16	003	2027	3	0
83	15	004	2038	4	0
84	16	004	2038	4	0
85	15	005	2039	5	0
86	16	005	2039	5	0
87	15	007	2040	6	0
88	16	007	2040	6	0
89	15	008	2041	7	0
90	16	008	2041	7	0
91	15	009	2042	8	0
92	16	009	2042	8	0
93	15	010	2043	9	0
94	16	010	2043	9	0
95	15	011	2044	10	0
96	16	011	2044	10	0
97	15	012	2045	11	0
98	16	012	2045	11	0
99	15	013	2046	12	0
100	16	013	2046	12	0
101	15	014	2028	13	0
102	16	014	2028	13	0
103	15	016	2047	14	0
104	16	016	2047	14	0
105	15	017	2048	15	0
106	16	017	2048	15	0
107	15	018	2031	16	0
108	16	018	2031	16	0
109	15	019	2049	17	0
110	16	019	2049	17	0
111	17	01	1971	1	1
112	18	01	1971	1	1
113	17	02	1972	2	0
114	18	02	1972	2	0
115	17	11	1973	3	0
116	18	11	1973	3	0
117	17	12	1974	4	0
118	18	12	1974	4	0
119	17	21	1975	5	0
120	18	21	1975	5	0
121	17	22	1976	6	0
122	18	22	1976	6	0
123	19	1	2140	1	1
124	20	1	2140	1	1
125	19	2	2141	2	0
126	20	2	2141	2	0
127	19	3	2142	3	0
128	20	3	2142	3	0
129	19	4	2143	4	0
130	20	4	2143	4	0
131	19	5	2144	5	0
132	20	5	2144	5	0
133	19	6	2145	6	0
134	20	6	2145	6	0
135	19	7	2146	7	0
136	20	7	2146	7	0
137	21	1	2134	1	1
138	22	1	2134	1	1
139	21	2	2135	2	0
140	22	2	2135	2	0
141	21	3	2136	3	0
142	22	3	2136	3	0
143	21	4	2137	4	0
144	22	4	2137	4	0
145	21	5	2138	5	0
146	22	5	2138	5	0
147	21	6	2139	6	0
148	22	6	2139	6	0
149	23	1	2134	1	1
150	24	1	2134	1	1
151	23	2	2135	2	0
152	24	2	2135	2	0
153	23	3	2136	3	0
154	24	3	2136	3	0
155	23	4	2137	4	0
156	24	4	2137	4	0
157	23	5	2138	5	0
158	24	5	2138	5	0
159	23	6	2139	6	0
160	24	6	2139	6	0
161	25	000	2162	1	0
162	26	000	2162	1	0
163	25	030	2163	2	0
164	26	030	2163	2	0
165	25	140	2017	3	0
166	26	140	2017	3	0
167	25	141	2164	4	0
168	26	141	2164	4	0
169	25	150	2016	5	0
170	26	150	2016	5	0
171	25	151	2165	6	0
172	26	151	2165	6	0
173	27	0	2166	1	0
174	28	0	2166	1	0
175	27	1	2167	2	0
176	28	1	2167	2	0
177	29	0	2168	1	0
178	30	0	2168	1	0
179	29	1	2169	2	0
180	30	1	2169	2	0
181	29	2	2170	3	0
182	30	2	2170	3	0
183	31	0	2176	1	0
184	32	0	2176	1	0
185	31	1	2177	2	0
186	32	1	2177	2	0
187	33	60	2171	1	0
188	34	60	2171	1	0
189	33	80	2172	2	0
190	34	80	2172	2	0
191	33	100	2173	3	0
192	34	100	2173	3	0
193	33	140	2174	4	0
194	34	140	2174	4	0
195	33	160	2175	5	0
196	34	160	2175	5	0
197	35	1	3164	1	0
198	36	1	3164	1	0
199	37	1	3151	1	0
200	38	1	3151	1	0
