MESSAGE_ID	MESSAGE_NM
70	[0]は数字8桁の日付(yyyyMMdd)を入力してください。
71	[0] must be of the [/]date format YYYYMMDD.
72	[0]请输入8位的数字日期(yyyyMMdd)。
73	[0]は小数[1]桁以下で入力してください。
74	[0] must be within [/][1] Decimal place(s).
75	[0]请输入[1]位以下的小数。
76	[0]は整数で入力してください。
77	[0] must be an integer.
78	[0]请输入整数。
256	[0]は整数[1]桁以下で入力してください。
257	[0] must be within [/][1] digits.
258	[0]请输入[1]位以下的整数。
310	[0]は[1]以下で入力してください。
311	[0] must be less than or [/]equal to [1].
312	[0]请输入[1]以下。
316	[0]は[1]文字以下で入力してください。
317	[0] must contain at most [/][1] characters.
318	[0]请输入[1]文字以下。
337	[0]は[1]以上で入力してください。
338	[0] must be greater or [/]equal to [1].
339	[0]请输入[1]以上。
343	[0]は[1]文字以上で入力してください。
344	[0] must contain at least [/][1] characters.
345	[0]请输入[1]文字以上。
460	[0]を入力してください。
461	Please enter [0].
462	[0]请输入。
549	[0]は数値のみ入力可能です。
550	[0] may only contain [/]Numbers.
551	[0]仅可以输入数值。
552	[0]は数字と-のみ入力可能です。
553	"[0] may only contain [/]Numbers and ""-""."
554	[0]仅可以输入数字和-。
555	[0]は英字のみ入力可能です。
556	"[0] may only contain [/]Numbers and ""-""."
557	[0]仅可以输入字母。
558	[0]は英字と-のみ入力可能です。
559	"[0] may only contain [/]Alphabetic characters and ""-""."
560	[0]仅可以输入字母和-。
561	[0]は英数字のみ入力可能です。
562	[0] may only contain [/]Alphanumeric characters.
563	[0]仅可以输入字母数字。
564	[0]は英数字と-のみ入力可能です。
565	"[0] may only contain [/]Alphanumeric characters and ""-""."
566	[0]仅可以输入字母数字和-。
567	[0]は英数字と記号のみ入力可能です。
568	[0] may only contain [/]Alphanumeric characters and symbols.
569	[0]仅可以输入字母数字和记号。
570	[0]は半角文字のみ入力可能です。
571	[0] may only contain [/]Half-width characters.
572	[0]仅可以输入半角文字。
573	[0]は全角文字のみ入力可能です。
574	[0] may only contain [/]Full-width characters.
575	[0]仅可以输入全角文字。
576	[0]は時刻のみ入力可能です。
577	[0] may only contain [/]Time.
578	[0]仅可以输入时刻。
579	[0]は時刻のみ(HH:MM:SS)入力可能です。
580	[0] may only contain [/]Time(HH:MM:SS).
581	[0]仅可以输入时刻(HH:MM:SS)。
685	キャンセルのデータが含まれています。
921	選択した預託の荷主が選択されていません。
975	エラーデータが含まれています。
1000	引当禁止のロケーションが含まれています。
1001	出荷停止中、または引当不可の商品が含まれています。
1002	出荷停止の取引先が含まれています。
1019	対象の追跡Noは積込検品済です。
1020	選択したセンターと荷主を使う権限がありません。管理者に連絡して下さい。
1021	中断データが存在します再開しますか？
1022	検品未完了のデータは削除できません。
1023	納品先は出荷指示に存在しません。
1024	該当データが存在しません。
1025	日付の入力が不正です(形式:YYYYMMDD)。
1026	運送便CDが異なります。確認して下さい。
1027	預託が選択されていません。
1028	エラーの伝票Noです。
1029	使用する荷材CDを入力して下さい。
1030	該当の棚卸データは全て在庫調整済のため、棚卸入力できません。
1031	商品が異なります。
1032	該当のアイテムの指示数を超えています。
1033	商品をスキャンして下さい。
1034	該当のアイテムの数量を超えています。
1035	該当のアイテムの数量が不足です。
1036	該当のアイテムの残数を超えています。
1037	完了時、ソースCDをクリアして下さい。
1038	仮ロケは入庫仮ロケーションを入力して下さい。
1039	ロケーションまたはソースCDまたは入荷ラベルNo.を入力して下さい。
1040	ログインできません。再度入力して下さい。
1041	選択したセンターを使う権限がありません。管理者に連絡して下さい。
1042	選択した荷主を使う権限がありません。管理者に連絡して下さい。
1043	メニューの設定を確認して下さい。
1044	棚卸データ未作成。
1045	出庫ロケと入庫ロケが同一です。
1046	対象の荷揃番号が削除されました。
1047	出荷梱包Noを入力して下さい。
1048	すでに登録されています。
1049	プリンタグループを設定していません。
1050	プリンタを設定していません。
1051	帳票レイアウトを設定していません。
1052	トレイを設定していません。
1053	処理区分が選択されていません。
1054	完了時、数量をクリアして下さい。
1055	数量は1以上で入力して下さい。
1056	予定無し入荷が行われていません。
1057	検品が行われていません。
1058	検品数が予定数を超えています。
1059	該当のソースCD/商品CDが入庫実績データに存在しません。
1060	該当のソースCD/商品CDの入庫数が0です。
1061	該当のソースCD/商品CDで取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。
1062	該当のソースCD/商品CDの仮ロケに入荷した在庫データの在庫数が0です。
1063	該当のソースCD/商品CDが全て格納済です。
1064	該当の仮ロケに入荷した在庫データが存在しません。
1065	該当のラベルNOに入荷した在庫データ（仮ロケ）が存在しません。
1066	該当のラベルNOに入荷した在庫データの在庫数が0です。
1067	該当の期限日が入庫実績データに存在しません。
1068	該当の期限日の入庫数が0です。
1069	該当の期限日で取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。
1070	該当の期限日の仮ロケに入荷した在庫データの在庫数が0です。
1071	該当の期限日が全て格納済です。
1072	ロケは通常ロケーションを入力して下さい。
1073	該当のロット、期限日が入庫実績データに存在しません。
1074	該当のロット、期限日の入庫数が0です。
1075	該当のロット、期限日で取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。
1076	該当のロット、期限日の仮ロケに入荷した在庫データの在庫数が0です。
1077	該当のロット、期限日が全て格納済です。
1078	該当のロットが入庫実績データに存在しません。
1079	該当のロットの入庫数が0です。
1080	該当のロットで取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。
1081	該当のロットの仮ロケに入荷した在庫データの在庫数が0です。
1082	該当のロットが全て格納済です。
1083	入荷数を超えて格納はできません。
1084	該当の伝票No.が入庫実績データに存在しません。
1085	該当の伝票No.の入庫数が0です。
1086	該当の伝票No.で取得した入庫実績データから仮ロケに入荷した在庫データが存在しません。
1087	該当の伝票No.の仮ロケに入荷した在庫データの在庫数が0です。
1088	該当の伝票No.が全て格納済です。
1089	セッションが切断されました。再度ログインして下さい。
1090	セッションが切断されました。
1091	再度ログインして下さい。
1092	対象のケースピッキングNo.は強制確定済です。
1093	データはすべて検品済です。
1094	対象の荷揃番号は強制確定済です。
1095	対象の出荷梱包No.はすべて検品済です。
1096	対象の出荷梱包No.が削除されました。
1097	対象の出荷梱包No.は強制確定済です。
1098	対象の梱包Noは積込検品済です。
1099	未検品データが存在します。
1100	対象の荷揃番号はすべて検品済です。
1101	対象の荷揃番号は検品済です。
1102	該当データが既にピック済です。
1103	対象のケースピッキングNo.はすべてピッキング済です。
1104	対象のケースピッキングNo.は削除されています。
1105	対象の荷揃番号はすべてピッキング済です。
1106	対象の伝票が削除されました。
1107	該当の商品は検品済です。
1108	該当の商品は検品数を超えています。
1109	該当のラベルNO移動が全て完了しました
1110	該当商品はすべて移動完了しました。
1111	在庫区分マスタに在庫区分が存在しません。
1112	在庫区分が選択されていません。
1113	該当の入荷ラベルNo.は数量を超えています。
1114	該当の入荷ラベルNo.の数量が不足です。
1115	入荷ラベルNo.が異なります。
