"発行通番","JIS地区コード","お問合せ番号","伝票番号","出荷日","荷送人コード","荷送人ｶﾅ","荷送人名1","荷送人名2","荷送人郵便番号","荷送人住所1","荷送人住所2","荷送人住所3","荷送人TEL","支払人コード","荷受人コード","荷受人ｶﾅ","荷受人名1","荷受人名2","荷受人郵便番号","荷受人住所1","荷受人住所2","荷受人住所3","荷受人TEL","所属店名","所属店電話番号","路線着地コード","路線着店名","路線仕分番号","配送指定日","記事1","記事2","記事3","記事4","記事5","記事6","記事7","記事8","個数","パレット数","重量","容積","保険料","荷札印刷枚数","送り状印刷時間","荷札印刷時間","貨物受領書印刷時間","出荷一覧印刷時間","着店コード","荷受人郵便番号整合性チェックフラグ"
" ","26103","3205795246","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　洛北阪急スクエ","ア店　．","6068103","京都府京都市左京区高野西開町３６","","","075-707-0746","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23106","3205795250","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　矢場町店　．","","4600011","愛知県名古屋市中区大須３－８－１","","","052-251-1361","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","17212","3205795261","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　野々市店　．","","9218815","石川県野々市市本町６－２４－１５","","","076-294-1478","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13121","3205795272","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　北千住西口店","．","1200034","東京都足立区千住２－６２","","","03-5284-5660","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27103","3205795283","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　福島店　．","","5530003","大阪府大阪市福島区福島５－１３－","１８","","06-6451-0684","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","26109","3205795294","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　伏見桃山店　．","","6128089","京都府京都市伏見区銀座町１－３６","１","","075-622-5432","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14133","3205795305","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　武蔵小杉東急ス","クエア　店","2118619","神奈川県川崎市中原区小杉町３－４","７２","","044-712-0900","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","22210","3205795316","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　富士厚原店　．","","4190201","静岡県富士市厚原９９－７","","","0545-73-1371","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","26103","3205795320","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　百万遍店　．","","6068301","京都府京都市左京区吉田泉殿町１","","","075-706-3488","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","28201","3205795331","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　姫路花田フレッ","ツガー　デン店","6710251","兵庫県姫路市花田町上原田１８９－","１","","079-252-7151","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13119","3205795342","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　板橋区役所前店","．","1730005","東京都板橋区仲宿６４－４","","","03-5944-7120","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27212","3205795353","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　八尾高美町店","．","5810017","大阪府八尾市高美町３－３－４","","","072-922-4771","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27127","3205795364","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　梅田茶屋町店","．","5300013","大阪府大阪市北区茶屋町１５－５","","","06-6375-3950","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23112","3205795375","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　南陽通店　．","","4570866","愛知県名古屋市南区三条１－１０－","１２","","052-883-9364","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13108","3205795386","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　南砂町店　．","","1360075","東京都江東区新砂３－３－５２","","","03-5632-1070","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","11203","3205795390","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　内山　裕貴","","3330834","埼玉県川口市安行領根岸３１８０イ","オンモール川口２Ｆ","","048-287-9952","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27124","3205795401","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　内環緑店　．","","5380054","大阪府大阪市鶴見区緑１－１３－１","３","","06-6931-4541","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27126","3205795412","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　内環喜連店　．","","5470026","大阪府大阪市平野区喜連西５－２－","９","","06-6708-3509","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","22342","3205795423","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　長泉桜堤店　．","","4110951","静岡県駿東郡長泉町桜堤２－６－１","","","055-928-4356","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14116","3205795434","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　長後街道中田店","．","2450013","神奈川県横浜市泉区中田東３－２２","－６","","045-800-5881","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27126","3205795445","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　中環長吉店　．","","5470014","大阪府大阪市平野区長吉川辺３－１","－３８","","06-6700-6101","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13116","3205795456","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　池袋北口店　．","","1700013","東京都豊島区東池袋１－４１－６","","","03-3971-2239","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27122","3205795460","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　地下鉄花園町駅","前店　．","5570032","大阪府大阪市西成区旭１－５－１","","","06-4396-7561","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14213","3205795471","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　大和鶴間イトー","ヨーカ　ドー店","2420001","神奈川県大和市下鶴間１－３－１","","","046-200-0281","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","27145","3205795482","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　大庭寺店　．","","5900153","大阪府堺市南区大庭寺８３０","","","072-293-5912","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","25201","3205795493","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　大津サービスエ","リア店　．","5200052","滋賀県大津市朝日が丘２－８－１","","","077-527-0030","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","23424","3205795504","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　大治店　．","","4901131","愛知県海部郡大治町字前田２６－１","","","052-449-2761","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","13109","3205795515","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　大崎ゲートシテ","ィ店　．","1410032","東京都品川区大崎１－１１－１　ゲ","ートシティプラザ","","03-5496-0857","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","25201","3205795526","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　前川　亜也香","","5202142","滋賀県大津市玉野浦４－５６","","","077-543-6650","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14131","3205795530","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　川崎渡田店　．","","2100837","神奈川県川崎市川崎区渡田３－１８","－１２","","044-328-6702","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
" ","14132","3205795541","","20240621","","","ミドリ安全株式会社草加物流センタ","","3400003","埼玉県草加市稲荷５－２７－１","","","048-931-4490","323-62-4442","","","日本マクドナルド　川崎ミューザ店","．","2120014","神奈川県川崎市幸区大宮町１３１０","ミューザ川崎１４５","","044-543-0321","","","","",""," ","","","","","","","","","1","","20","","","","","","","","",""
