画面マスタ	画面マスタ	画面マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	項目マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ	列マスタ拡張基本	列マスタ拡張基本
SCREEN_CD	DICT_NM	SYSTEM_TYPE	ITEM_CD	DICT_NM	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED	COL_CD	DICT_NM	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE	COL_ORDER	COL_WIDTH
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	centerCd	社内入荷センタ		1	1		0	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	customerCd	取引先CD		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	customerNm	取引先名称		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	customerAbbr	取引先略称		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	deliveryFlg	納品先フラグ		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	vendorFlg	仕入先フラグ		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	onetimeFlg	ワンタイムフラグ		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	depositFlg	預託先フラグ		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	address1	住所1		1	1		0	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	address2	住所2		1	1		0	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	address3	住所3		1	1		0	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	zipCd	郵便番号		1	1		0	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	telNo	電話番号		1	1		0	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	allocOrder	引当順序		1	1	right	1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	shippingStopFlg	出荷停止フラグ		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	limitDtReverseFlg	期限日逆転防止フラグ		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	addRow	行追加		1	1		0	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	removeRow	行削除		1	1		0	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	delFlg	削除		1	1		1	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	register	登録		1	1		0	1													
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	customerList	取引先マスタメンテナンスグリッド	grid	1	1		0	1	mcenter.centerCd	センタ	1	dropdown	1	1		1	300			1	300
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	customerList	取引先マスタメンテナンスグリッド	grid	1	1		0	1	mdeliveryCourse.deliveryCourseCd	配送コースCD	2	text	1	1		0	125			2	220
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	customerList	取引先マスタメンテナンスグリッド	grid	1	1		0	1	deliveryOrder	配送順	3	number	1	1	right	0	70			3	140
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	customerList	取引先マスタメンテナンスグリッド	grid	1	1		0	1	deliveryReadTime	配送リードタイム	4	number	1	1	right	0	140			4	170
CustomerMasterEdit	取引先マスタメンテナンス(編集)	wms	clientCd	荷主		1	0		0	1													
