SCREEN_CD	DICT_NM	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE
SelectClient	ユーザ荷主倉庫選択	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可	1	NoViewDeposit	預託閲覧不可	
LocationMasterSearch	ロケーションマスタ検索	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可	1	NoViewDeposit	預託閲覧不可	
DeliveryCourseSearch	配送コースマスタ検索	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可	1	NoViewDeposit	預託閲覧不可	
DeliveryMasterSearch	納品先マスタ検索	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可	1	NoViewDeposit	預託閲覧不可	
ProductMasterSearch	商品マスタ検索	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可	1	NoViewDeposit	預託閲覧不可	
VendorMasterSearch	仕入先マスタ検索	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可	1	NoViewDeposit	預託閲覧不可	
HTDictMaster	HT辞書マスタメンテナンス	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
HTDictCultureMaster	HT辞書カルチャマスタメンテナンス	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
HTMessageMaster	HTメッセージマスタメンテナンス	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CenterClassList	センタ別区分値マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CenterClassEdit	センタ別区分値マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CenterClassGrpDtlEdit	センタ別区分値グループ明細マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CenterClassGrpEdit	センタ別区分値グループマスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CenterClientScreenMaster	センタ・荷主別画面マスタメンテナンス	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CenterClientScreenItemMaster	センタ・荷主別画面項目マスタメンテナンス	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CenterClientScreenColMaster	センタ・荷主別画面グリッドマスタメンテナンス	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
EdiList	EDIマスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
EdiEdit	EDIマスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ImportTypeMasterList	取込種別マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ImportTypeMasterEdit	取込種別マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ImportTypeBCopyColumnInput	取込種別コピー列名入力	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
MatchingMaster	マッチングマスタメンテナンス	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
DataInput	初期データ取込	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ProcessTypeMaster	処理区分マスタメンテナンス	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CarrierSlipYmtMaster	ヤマト送り状マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限	0	NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CarrierSlipYmtMasterEdit	ヤマト送り状マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CarrierSlipSgwMaster	佐川送り状マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限	0	NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CarrierSlipSgwMasterEdit	佐川送り状マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CarrierSlipYupkMaster	ゆうパック送り状マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限	0	NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
CarrierSlipYupkMasterEdit	ゆうパック送り状マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
