CLASS_GRP_DTL_ID	CLASS_DTL_ID	CLASS_GRP_ID	DEFAULT_FLG
1	286	1	0
2	289	1	0
3	290	1	0
4	291	1	0
5	292	1	0
6	293	1	0
7	294	1	0
8	295	1	0
9	296	1	0
10	297	1	0
11	318	2	0
12	321	2	0
13	322	2	0
14	323	2	0
15	324	2	0
16	325	2	0
17	326	2	0
18	327	2	0
19	328	2	0
20	329	2	0
21	405	3	0
22	407	3	0
23	408	3	0
24	409	3	0
25	451	4	0
26	451	5	0
27	454	4	0
28	454	5	0
29	454	6	0
30	455	4	0
31	455	5	0
32	455	6	0
33	456	4	0
34	456	5	0
35	456	6	0
36	457	4	0
37	457	5	0
38	457	6	0
39	458	4	0
40	458	5	0
41	458	6	0
42	459	4	0
43	459	5	0
44	459	6	0
45	460	4	0
46	460	5	0
47	460	6	0
48	461	4	0
49	461	5	0
50	462	4	0
51	462	5	0
52	774	7	0
53	775	7	0
54	777	8	0
