ITEM_ID	SCREEN_ID	ITEM_CD	DICT_ID	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED
1195	203	beforePrinterGroupNm	70		1	0		0	1
1196	203	beforePrinterNm	98		1	0		0	1
1197	203	beforeTrayNm	99		1	0		0	1
1198	203	afterPrinterGroupNm	70		1	0		0	1
1199	203	afterPrinterId	100		1	1		0	1
1200	203	afterPrinterAttributeId	101		1	1		0	1
1201	203	update	856		1	1		0	1
1202	204	printerGroupId	70		1	1		0	1
1203	204	printerId	4		1	1		0	1
1204	204	search	745		1	1		0	1
1205	204	autoPrintBulkPrinterChangeListGrid	97	grid	1	1		0	1
1206	204	register	723		1	1		0	1
1207	204	update	856		1	1		0	1
1208	205	classCd	331		1	1		1	1
1209	205	classComment	337		1	1		1	1
1210	205	systemType	200		1	1		1	1
1211	205	classEdit	127	grid	1	1		0	1
1212	205	addRow	721		1	1		0	1
1213	205	removeRow	722		1	1		0	1
1214	205	register	723		1	1		0	1
1215	206	classCd	331		1	0		0	1
1216	206	classGrpCd	333		1	1		1	1
1217	206	search	745		1	1		0	1
1218	206	classGrpDtlList	126	grid	1	1		0	1
1219	206	register	723		1	1		0	1
1220	207	classCd	331		1	0		0	1
1221	207	classComment	337		1	0		0	1
1222	207	systemType	200		1	0		0	1
1223	207	addRow	721		1	1		0	1
1224	207	removeRow	722		1	1		0	1
1225	207	register	723		1	1		0	1
1226	207	classGrpMasterEdit	125	grid	1	1		0	1
1227	208	classCd	331		1	1		0	1
1228	208	classComment	337		1	1		0	1
1229	208	systemType	200		1	1		0	1
1230	208	search	745		1	1		0	1
1231	208	classList	128	grid	1	1		0	1
1232	208	classGrpUpdate	1121		1	1		0	1
1233	208	classGrpDtlUpdate	1122		1	1		0	1
1234	208	register	704		1	1		0	1
1235	208	update	705		1	1		0	1
1236	208	delete	819		1	1		0	1
1237	209	cultureId	1024		1	1		1	1
1238	209	dictNm	424		1	1		0	1
1239	209	search	745		1	1		0	1
1240	209	dictCultureList	133	grid	1	1		0	1
1241	209	register	723		1	1		0	1
1242	210	dictNm	424		1	1		0	1
1243	210	systemType	200		1	1		0	1
1244	210	search	745		1	1		0	1
1245	210	dictList	134	grid	1	1		0	1
1246	210	addRow	721		1	1		0	1
1247	210	removeRow	722		1	1		0	1
1248	210	register	723		1	1		0	1
1249	211	screenCd	309		1	1		0	1
1250	211	screenNm	1090		1	1		0	1
1251	211	systemType	200		1	1		0	1
1252	211	search	745		1	1		0	1
1253	211	screenList	122	grid	1	1		0	1
1254	211	selection	746		1	1		0	1
1255	212	close	747		1	1		1	1
1256	212	reset	24		1	1		1	1
1257	212	confirmed	723		1	1		1	1
1258	212	columnOrderTitle	25		1	0		0	1
1259	212	columnWithTitle	26		1	0		0	1
1260	213	infoDtFrom	1070		1	1		0	1
1261	213	infoDtTo	1071		1	1		0	1
1262	213	infoEnd	1072		1	1		0	1
1263	213	search	745		1	1		0	1
1264	213	excelOutput	732		1	1		0	1
1265	213	infoList	113	grid	1	1		0	1
1266	213	addRow	704		1	1		0	1
1267	213	modRow	705		1	1		0	1
1268	213	removeRow	819		1	1		0	1
1269	213	infoNm	1073		1	1		1	1
1270	213	infoStartDt	312		1	1		1	1
1271	213	infoEndDt	433		1	1		1	1
1272	213	register	723		1	1		0	1
1273	214	login	28		1	1		1	1
1274	214	loginId	29		1	1		1	1
1275	214	password	30		1	1		1	1
1276	215	register	723		1	1		1	1
1277	215	lockout	2061		1	1		1	1
1278	215	passwordReset	36		1	1		1	1
1279	215	passwordModifiedDate	37		1	0		0	1
1280	215	lastLoginDate	38		1	0		0	1
1281	215	failedLoginAttempts	40		1	0		0	1
1282	215	lastFailedLoginDate	39		1	0		0	1
1283	215	lockoutDate	41		1	0		0	1
1284	215	availableStartDateYmd	42		1	1		1	1
1285	215	availableStartTime	43		1	1		1	1
1286	215	availableEndDateYmd	44		1	1		1	1
1287	215	availableEndTime	45		1	1		1	1
1288	215	passwordChange	34		1	1		1	1
1289	216	close	747		1	1		0	1
1290	217	pgmCd	1053		1	0		0	1
1291	217	pgmNm	237		1	0		0	1
1292	217	logDtlList	119	grid	1	1		0	1
1293	217	logDtlBrowse	27		1	1		0	1
1294	218	logStatus	256		1	1		0	0
1295	218	processDtFrom	861		1	1		0	1
1296	218	processDtTo	862		1	1		0	1
1297	218	pgm	1052		1	1		0	0
1298	218	centerCd	736		1	1		0	1
1299	218	clientCd	748		1	1		0	1
1300	218	search	745		1	1		0	1
1301	218	excelOutput	732		1	1		0	1
1302	218	AutomaticSearch	1064		1	1		0	1
1303	218	logList	118	grid	1	1		0	1
1304	218	detail	1065		1	1		0	1
1305	219	select	746		1	1		0	1
1306	220	menuGrpCd	245		1	1		1	1
1307	220	dictNm	1125		1	1		1	1
1308	220	parentMenuGrpId	1126		1	1		0	1
1309	220	visibleType	141		1	1		1	1
1310	220	viewOrder	613		1	1		1	1
1311	220	menuGrpEdit	115	grid	1	1		0	1
1312	220	addRow	721		1	1		0	1
1313	220	removeRow	722		1	1		0	1
1314	220	register	723		1	1		0	1
1315	221	menuGrpCd	245		1	1		0	1
1316	221	dictNm	1125		1	1		0	1
1317	221	visibleType	141		1	1		0	1
1318	221	search	745		1	1		0	1
1319	221	menuGrpList	116	grid	1	1		0	1
1320	221	register	704		1	1		0	1
1321	221	update	705		1	1		0	1
1322	221	delete	819		1	1		0	1
1323	221	copy	1572		1	1		0	1
1324	222	messageCd	240		1	1		0	1
1325	222	messageNm	239		1	1		0	1
1326	222	messageType	508		1	1		0	1
1327	222	systemType	200		1	1		0	1
1328	222	cultureCd	1024		1	1		0	1
1329	222	search	745		1	1		0	1
1330	222	body	114	grid	1	1		0	1
1331	222	addRow	721		1	1		0	1
1332	222	removeRow	722		1	1		0	1
1333	222	register	723		1	1		0	1
1334	223	oldPassword	31		1	1		1	1
1335	223	newPassword	32		1	1		1	1
1336	223	newPasswordReEnter	33		1	1		1	1
1337	223	passwordChange	34		1	1		1	1
1338	223	cancel	1790		1	1		1	1
1339	223	closeSuccessMsgDialog	747		1	1		1	1
1340	223	closeWarningMsgDialog	747		1	1		1	1
1341	223	closeDangerMsgDialog	747		1	1		1	1
1342	223	passwordReset	47		1	1		1	1
1343	224	printerNm	234		1	1		0	1
1344	224	printerVisible	88		1	1		0	1
1345	224	printerGroupId	70		1	1		1	1
1346	224	trayNm	220		1	1		0	1
1347	224	trayVisible	89		1	1		0	1
1348	224	printerAttributeListGrid	56	grid	1	1		0	1
1349	224	search	745		1	1		0	1
1350	224	register	723		1	1		0	1
1351	224	remove	819		1	1		0	1
1352	225	printerGroupNm	62		1	1		0	1
1353	225	attribute1	63		1	1		0	1
1354	225	attribute2	64		1	1		0	1
1355	225	attribute3	65		1	1		0	1
1356	225	attribute4	66		1	1		0	1
1357	225	attribute5	67		1	1		0	1
1358	225	printerGroupListGrid	49	grid	1	1		0	1
1359	225	search	745		1	1		0	1
1360	225	addRow	721		1	1		0	1
1361	225	removeRow	722		1	1		0	1
1362	225	register	723		1	1		0	1
1363	225	remove	819		1	1		0	1
1364	226	printerNm	234		1	1		0	1
