COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
1	1205	printerGroupNm	70	1	text	1	0		0	250		
2	1205	printerNm	234	2	text	1	0		0	300		
3	1205	trayNm	220	3	text	1	0		0	300		
4	1211	classDtlCd	338	1	text	1	1		1	300		
5	1211	vdict.dictNm	1116	2	text	1	1		1	300		
6	1211	viewOrder	613	3	number	1	1	right	1	70		
7	1211	defaultFlg	1852	4	checkbox	1	1		1	80		
8	1211	delFlg	819	5	dropdown	1	1		0	110		
9	1218	bclassDtl.bclass.classCd	331	1	text	1	0		0	300		
10	1218	bclassDtl.bclass.classComment	337	2	text	1	0		0	300		
11	1218	bclassDtl.classDtlCd	338	3	text	1	0		0	300		
12	1218	bclassDtl.vdict.dictNm	1116	4	text	1	0		0	300		
13	1218	selectFlg	746	5	checkbox	1	1		0	40		
14	1218	defaultFlg	1852	6	checkbox	1	1		0	80		
15	1226	classGrpCd	333	1	text	1	1		1	300		
16	1226	classGrpComment	335	2	text	1	1		1	300		
17	1226	delFlg	819	3	dropdown	1	1		0	110		
18	1231	classCd	331	1	text	1	0		0	300		
19	1231	classComment	337	2	text	1	0		0	300		
20	1231	systemType	200	3	text	1	0		0	110		
21	1231	bclassDtlBySystemType.vdict.dictNm	1123	4	text	1	0		0	140		
22	1240	bdictCultureList[0].bculture.vdict.dictNm	1024	1	text	1	0		0	300		
23	1240	dictNm	424	2	text	1	0		0	300		
24	1240	dictCultureNm	1025	3	text	1	1		0	300		
25	1245	oldDictNm	1046	1	text	1	0		0	300		
26	1245	dictNm	424	2	text	1	1		1	300		
27	1245	systemType	200	3	dropdown	1	1		1	135		
28	1245	dataType	1047	4	dropdown	1	1		0	175		
29	1245	bdictValidAsOne.inputLimit	1048	5	dropdown	1	1		0	450		
30	1245	bdictValidAsOne.limitMessageCd	481	6	text	1	1		0	420		
31	1245	bdictValidAsOne.minChars	370	7	number	1	1	right	0	90		
32	1245	bdictValidAsOne.maxChars	374	8	number	1	1	right	0	90		
33	1245	bdictValidAsOne.minNumber	369	9	number	1	1	right	0	230		
34	1245	bdictValidAsOne.maxNumber	373	10	number	1	1	right	0	230		
35	1245	bdictValidAsOne.integerLength	482	11	number	1	1	right	0	75		
36	1245	bdictValidAsOne.decimalLength	477	12	number	1	1	right	0	75		
37	1245	delFlg	819	13	dropdown	1	1		0	110		
38	1253	screen.screenCd	309	1	text	1	0		0	300	1	
39	1253	screen.vdict.dictNm	1090	2	text	1	0		0	400	2	
40	1253	screen.systemTypeNm	200	3	text	1	0		0	110	3	
41	1253	item.vdict.dictNm	1944	4	text	1	0		0	300	4	
42	1265	infoNm	1073	1	text	1	0		0	1100		
43	1265	infoStartDt	312	2	date	1	0		0	150		
44	1265	infoEndDt	433	3	date	1	0		0	150		
45	1292	bclassDtlByLogDtlStatus.vdict.dictNm	261	1	text	1	0		0	155		
46	1292	processDt	661	2	datetime	1	0		0	180		
47	1292	logDtlSectionNm	1086	3	text	1	0		0	300		
48	1292	processInfo	467	4	text	1	0		0	1100		
49	1303	dictNm	256	1	text	1	0		0	125		
50	1303	processStartDt	1050	2	datetime	1	0		0	180		
51	1303	processEndDt	1051	3	datetime	1	0		0	180		
52	1303	pgmCd	1053	4	text	1	0		0	300		
53	1303	pgmNm	237	5	text	1	0		0	300		
54	1303	attribute1	202	6	text	1	0		0	90		
55	1303	centerNm	208	7	text	1	0		0	300		
56	1303	attribute2	299	8	text	1	0		0	85		
57	1303	clientNm	305	9	text	1	0		0	300		
58	1311	bscreen.screenCd	1076	1	dropdown	1	1		0	600		
59	1311	vdict.dictNm	1202	2	text	1	1		0	300		
60	1311	urlPath	182	3	text	1	1		0	600		
61	1311	targetWindow	140	4	dropdown	1	1		0	300		
62	1311	viewOrder	613	5	number	1	1	right	1	70		
63	1311	delFlg	819	6	dropdown	1	1		0	110		
64	1319	menuGrpCd	245	1	text	1	0		0	300		
65	1319	vdict.dictNm	1125	2	text	1	0		0	300		
66	1319	bmenuGrpSelf.vdict.dictNm	1126	3	text	1	0		0	300		
67	1319	visibleType	141	4	text	1	0		0	70		
68	1319	viewOrder	613	5	number	1	0	right	0	70		
69	1330	messageCd	240	1	text	1	1		1	450		
70	1330	messageNm	239	2	text	1	1		1	1000		
71	1330	messageAbbr	242	3	text	1	1		0	300		
72	1330	messageType	508	4	dropdown	1	1		0	160		
73	1330	systemType	200	5	dropdown	1	1		1	135		
74	1330	cultureCd	1024	6	dropdown	1	1		1	300		
75	1330	delFlg	819	7	dropdown	1	1		0	110		
76	1348	pprinter.pprinterGroup.printerGroupNm	62	1	text	1	0		0	250		
77	1348	pprinter.printerNm	234	2	text	1	0		0	300		
78	1348	pprinter.bclassDtlByVisible.vdict.dictNm	88	3	text	1	0		0	250		
79	1348	trayNm	220	4	text	1	0		0	300		
80	1348	visible	89	5	dropdown	1	1		1	250		
81	1358	printerGroupNm	62	1	text	1	1		1	250		
82	1358	attribute1	63	2	text	1	1		0	250		
83	1358	attribute2	64	3	text	1	1		0	250		
84	1358	attribute3	65	4	text	1	1		0	250		
85	1358	attribute4	66	5	text	1	1		0	250		
86	1358	attribute5	67	6	text	1	1		0	250		
87	1367	pprinterGroup.printerGroupNm	70	1	text	1	0		0	300		
88	1367	printerNm	234	2	text	1	0		0	300		
89	1367	visible	88	3	dropdown	1	1		1	250		
90	1381	printRequestNo	85	1	text	1	0		0	100		
91	1381	printerNm	4	6	text	1	0		0	500		
92	1381	trayNm	7	7	text	1	0		0	300		
93	1381	printNum	5	8	number	1	0	right	0	100		
94	1381	bclassDtlBySheetCollate.vdict.dictNm	614	10	text	1	0		0	140		
95	1381	bclassDtlByPrintResultClass.vdict.dictNm	86	2	text	1	0		0	100		
96	1381	printDt	80	3	datetime	1	0		0	180		
97	1381	pprintRequest.reportNm	1272	4	text	1	0		0	200		
98	1381	pprintRequest.reportLayoutNm	8	5	text	1	0		0	200		
99	1381	documentPageSize	109	9	number	1	0	right	0	100		
100	1396	reportNm	1272	4	text	1	0		0	200		
101	1396	reportLayoutNm	8	5	text	1	0		0	200		
102	1396	printerGroupNm	70	7	text	1	0		0	200		
103	1396	bclassDtlByPrintStatus.vdict.dictNm	274	1	text	1	0		0	140		
104	1396	bclassDtlByPrintedFlg.vdict.dictNm	79	11	text	1	0		0	100		
105	1396	printerNm	4	8	text	1	0		0	170		
106	1396	trayNm	7	9	text	1	0		0	170		
107	1396	printNum	5	12	number	1	0	right	0	100		
108	1396	bclassDtlBySheetCollate.vdict.dictNm	614	14	text	1	0		0	130		
109	1396	latestPrintDt	80	3	datetime	1	0		0	180		
110	1396	queueAddDt	103	2	datetime	1	0		0	180		
111	1396	documentPageSize	109	13	number	1	0	right	0	100		
112	1396	addUser	110	10	text	1	0		0	120		
113	1396	bclassDtlByPrintDataType.vdict.dictNm	112	6	text	1	0		0	130		
114	1423	printServiceNm	68	1	text	1	0		0	300		
115	1423	terminalNm	69	2	text	1	0		0	300		
116	1423	macAddress	3363	3	text	1	0		0	250		
117	1423	printerGroupNm	70	4	dropdown	1	0		0	200		
118	1423	bclassDtlByPrintServiceStatus.vdict.dictNm	71	5	dropdown	1	0		0	200		
119	1431	propertyNm	1077	1	text	1	1		1	300		
120	1431	propertyValue	3341	2	text	1	1		1	400		
121	1431	propertyComment	3342	3	text	1	1		0	800		
122	1431	delFlg	819	4	dropdown	1	1		0	110		
123	1442	itemCd	360	1	text	1	1		1	200		
124	1442	vdict.dictNm	1077	2	text	1	1		0	200		
125	1442	itemType	362	3	dropdown	1	1		0	200		
126	1442	visible	612	4	dropdown	1	1		1	200		
127	1442	itemFormat	1277	5	text	1	1		0	200		
128	1472	itemCd	360	1	text	1	1		1	200		
129	1472	vdict.dictNm	1077	2	text	1	1		0	300		
130	1472	itemType	362	3	dropdown	1	1		0	200		
131	1472	visible	612	4	dropdown	1	1		1	200		
132	1472	itemFormat	1277	5	text	1	1		0	200		
133	1472	delFlg	819	6	dropdown	1	1		0	110		
134	1478	preport.reportCd	523	1	text	1	0		0	200		
135	1478	preport.reportNm	530	2	text	1	0		0	300		
136	1478	reportLayoutNm	529	3	text	1	0		0	400		
137	1494	reportCd	523	1	text	1	1		1	200		
138	1494	reportNm	149	2	text	1	1		1	300		
139	1494	delFlg	819	3	dropdown	1	1		0	110		
140	1502	roleCd	1083	1	text	1	0		0	300		
141	1502	vdict.dictNm	344	2	text	1	0		0	300		
142	1502	broleGrpDtlList[0].applyOrder	535	3	number	1	1	right	0	75		
143	1507	roleGrpCd	1035	1	text	1	0		0	300		
144	1507	vdict.dictNm	1036	2	text	1	0		0	300		
145	1507	roleControlClass	143	3	text	1	0		0	300		
146	1507	bclassDtlByRoleControlClass.vdict.dictNm	144	4	text	1	0		0	300		
147	1517	roleCd	1083	1	text	1	0		0	300		
148	1517	vdict.dictNm	344	2	text	1	0		0	300		
149	1533	colCd	643	1	text	1	1		1	300		
150	1533	vdict.dictNm	1148	2	text	1	1		1	300		
151	1533	colOrder	647	3	number	1	1	right	0	70		
152	1533	colType	645	4	dropdown	1	1		0	270		
153	1533	visible	612	5	dropdown	1	1		1	110		
154	1533	editable	617	6	dropdown	1	1		1	130		
155	1533	textAlign	611	7	dropdown	1	1		0	185		
156	1533	necessary	610	8	dropdown	1	1		1	95		
157	1533	colWidth	648	9	number	1	1	right	0	60		
158	1533	inColIndex	592	10	number	1	1	right	0	155		
159	1533	inColDefaultValue	2911	11	text	1	1		0	300		
160	1533	bcolValidAsOne.inputLimit	1048	12	dropdown	1	1		0	450		
161	1533	bcolValidAsOne.limitMessageCd	481	13	text	1	1		0	420		
162	1533	bcolValidAsOne.minChars	370	14	number	1	1	right	0	90		
163	1533	bcolValidAsOne.maxChars	374	15	number	1	1	right	0	90		
164	1533	bcolValidAsOne.minNumber	369	16	number	1	1	right	0	230		
165	1533	bcolValidAsOne.maxNumber	373	17	number	1	1	right	0	230		
166	1533	bcolValidAsOne.integerLength	482	18	number	1	1	right	0	75		
167	1533	bcolValidAsOne.decimalLength	477	19	number	1	1	right	0	75		
168	1533	delFlg	819	20	dropdown	1	1		0	110		
169	1541	colCd	643	1	text	1	0		0	300		
170	1541	vdict.dictNm	1148	2	text	1	0		0	300		
171	1541	bclassDtlByVisible.vdict.dictNm	612	3	text	1	0		0	75		
172	1541	bclassDtlByEditable.vdict.dictNm	617	4	text	1	0		0	75		
173	1541	roleColVisible	1078	5	dropdown	1	1		0	140		
174	1541	roleColEditable	1079	6	dropdown	1	1		0	140		
175	1546	itemCd	360	1	text	1	1		1	300		
176	1546	vdict.dictNm	1077	2	text	1	1		1	300		
177	1546	itemType	362	3	dropdown	1	1		0	270		
178	1546	visible	612	4	dropdown	1	1		1	110		
